1,user_0,12483170080,95547,1963-09-17,0,广西壮族自治区百色市田阳县,12483170080,5187521061@163.com,avatar/0.img,1,Thu Aug 20 00:00:00 CST 2020,1,Tue Feb 20 00:00:00 CST 2024,Wed Feb 28 00:00:00 CST 2024
2,user_1,5264383722@163.com,786607,1943-03-24,1,浙江省丽水市龙泉市,16149156750,5264383722@163.com,avatar/1.img,0,Thu Aug 20 00:00:00 CST 2020,1,Tue Feb 20 00:00:00 CST 2024,Wed Feb 28 00:00:00 CST 2024
3,user_2,18398510437,419391,1907-10-26,0,甘肃省天水市张家川回族自治县,18398510437,9092333618@163.com,avatar/2.img,0,Thu Aug 20 00:00:00 CST 2020,0,Tue Feb 20 00:00:00 CST 2024,Wed Feb 28 00:00:00 CST 2024
4,user_3,6045068725@gmail.com,790142,2008-01-13,0,澳门特别行政区,14414363082,6045068725@gmail.com,avatar/3.img,0,Thu Aug 20 00:00:00 CST 2020,0,Tue Feb 20 00:00:00 CST 2024,Wed Feb 28 00:00:00 CST 2024
5,user_4,18581893283,454384,1939-09-19,0,西藏自治区山南地区措美县,18581893283,3552055361@qq.com,avatar/4.img,0,Thu Aug 20 00:00:00 CST 2020,0,Tue Feb 20 00:00:00 CST 2024,Wed Feb 28 00:00:00 CST 2024
6,user_5,13135170039,278651,2001-02-27,1,河南省濮阳市华龙区,13135170039,4594785268@qq.com,avatar/5.img,0,Thu Aug 20 00:00:00 CST 2020,0,Tue Feb 20 00:00:00 CST 2024,Wed Feb 28 00:00:00 CST 2024
7,user_6,13017903253,407757,1958-07-01,1,天津市县宁河县,13017903253,2982959144@163.com,avatar/6.img,0,Thu Aug 20 00:00:00 CST 2020,0,Tue Feb 20 00:00:00 CST 2024,Wed Feb 28 00:00:00 CST 2024
8,user_7,14232554587,21251,2017-03-02,0,安徽省六安市裕安区,14232554587,4573075213@qq.com,avatar/7.img,1,Thu Aug 20 00:00:00 CST 2020,0,Tue Feb 20 00:00:00 CST 2024,Wed Feb 28 00:00:00 CST 2024
9,user_8,1496675895@qq.com,240161,1989-08-01,0,青海省海东地区循化撒拉族自治县,15329617184,1496675895@qq.com,avatar/8.img,1,Thu Aug 20 00:00:00 CST 2020,0,Tue Feb 20 00:00:00 CST 2024,Wed Feb 28 00:00:00 CST 2024
10,user_9,16871910723,644851,1974-07-13,0,重庆市市辖区江北区,16871910723,2324042942@gmail.com,avatar/9.img,0,Thu Aug 20 00:00:00 CST 2020,1,Tue Feb 20 00:00:00 CST 2024,Wed Feb 28 00:00:00 CST 2024
